dsr1,dr1r2,Pr2,msr1,msr2,mr1d,mr2d,mr1r2,zeta,minPr1,minDsr2
0.48267,0.56321,0.52378,1,2,3,3,1,0.13244,0.2342,0.042
0.4306,0.97309,0.76241,1,2,1,1,3,0.0036743,0.9998,0.777
0.77237,0.45962,0.37086,3,3,2,2,1,0.44546,0.0197,0.285
0.9091,0.71412,0.33257,3,2,1,2,3,0.42653,0.5103,0.089
0.1793,0.53557,0.18771,2,3,1,2,3,0.16096,0.9998,0.179
0.2415,0.4702,0.15416,2,2,1,2,1,0.47821,0.9998,0.051
0.18879,0.30084,0.31642,3,3,3,1,2,0.34981,0.0131,0.497
0.76155,0.83369,0.57606,2,2,2,1,2,0.37383,0.0043,0.794
0.14785,0.43872,0.67227,2,1,2,2,1,0.21576,0.9998,0.001
0.94623,0.93451,0.39268,3,1,1,2,1,0.012428,0.4916,0.03
0.58247,0.78065,0.71943,3,3,3,1,2,0.32502,0.0076,0.9
0.97977,0.49938,0.59497,3,2,2,1,1,0.48108,0.001,0.752
0.27322,0.40636,0.39711,1,1,2,3,2,0.18736,0.9998,0.001
0.57326,0.85281,0.23537,1,2,1,2,1,0.22401,0.9998,0.117
0.83706,0.97975,0.84637,2,1,2,2,1,0.253,0.0406,0.012
0.60026,0.42082,0.090347,1,3,1,3,2,0.12763,0.9998,0.111
0.57605,0.86744,0.40384,3,3,3,3,1,0.49422,0.0912,0.165
0.55656,0.67055,0.82998,1,1,2,1,3,0.42938,0.0142,0.14
0.10974,0.48892,0.52464,3,1,2,3,1,0.48633,0.9998,0.001
0.63928,0.47876,0.088666,3,1,1,3,3,0.41913,0.9998,0.001
0.82773,0.43369,0.44253,2,3,1,2,1,0.19671,0.9998,0.098
0.67146,0.69969,0.16977,3,3,1,1,1,0.073828,0.1572,0.774
0.80506,0.61596,0.38265,2,3,2,1,1,0.39482,0.0032,0.9
0.65012,0.98239,0.075967,2,2,3,3,1,0.29351,0.0142,0.298
0.18657,0.8468,0.1958,2,1,1,3,3,0.49618,0.9998,0.001
